steps,port,train_fitted,train_real,train_MAPE,train_RMSE,test_results,test_real,test_MAPE,test_RMSE
4,Ningbo(10kTEU),"[ 561.20172399  679.43084118  862.2289775  1086.50066948 1233.52540708
 1191.65873715 1445.61055664 1593.81463705 1707.71949726 1816.12075767
 2005.40527947 2195.08291554]","[400.5, 520.8, 706.8, 935.0, 1084.6, 1042.0, 1300.4, 1451.2, 1567.1, 1677.4, 1870.0, 2063.0, 2160.0]",4.793790039289866,73.76899156173198,[2290.41312642 2418.58127943 2544.54310473 2668.33658275],"[2461.0, 2635.0, 2749.0, 2872.0]",7.418421888723356,199.5108728872308
4,Shanghai(10kTEU),"[1858.3088558  2153.58514913 2456.89161928 2828.28729701 2981.36254256
 2732.25976592 3072.45486082 3295.79415351 3361.87581689 3452.88448747
 3592.40880964 3697.38664197]","[1455.4, 1808.4, 2171.0, 2615.0, 2798.0, 2500.2, 2906.9, 3173.9, 3252.9, 3361.7, 3528.5, 3654.0, 3713.0]",3.726049503081271,161.4033167904303,[3746.73877032 3774.96046732 3798.56726076 3818.31379465],"[4023.0, 4201.0, 4330.0, 4350.0]",10.376093456163415,453.58045805624226
4,Singapore(10kTEU),"[2430.1459408  2558.88659626 2669.45291334 2886.71572641 3023.67975169
 2743.73965763 2920.92218075 3025.06183065 3143.29868598 3207.56535779
 3296.70945093 3092.92190776]","[2132.9, 2319.2, 2479.2, 2793.6, 2991.8, 2586.7, 2843.1, 2993.8, 3164.9, 3257.9, 3386.9, 3092.0, 3090.0]",4.893582210117282,172.7263496049499,[3091.5398288  3092.6039113  3093.33923431 3093.84737155],"[3367.0, 3660.0, 3720.0, 3660.0]",13.999542799666104,527.0315790711545
4,Shenzhen(10kTEU),"[1700.53946818 1865.09635558 2012.17473803 2182.42832335 2202.81991247
 1997.99772846 2273.70496034 2277.65380776 2301.60583307 2323.48633187
 2372.62035136 2383.17218953]","[1365.5, 1619.7, 1846.9, 2109.9, 2141.4, 1825.0, 2250.9, 2257.0, 2294.0, 2327.8, 2403.7, 2420.0, 2397.0]",4.409317782190179,139.9135990552928,[2368.28309272 2349.69314434 2337.65890342 2329.86851306],"[2521.0, 2774.0, 2577.0, 2655.0]",10.721808313898588,302.63567446612296
4,Hong Kong(10kTEU),"[2219.9125499  2242.12290795 2297.87441619 2320.88695422 2345.75453343
 2172.58393139 2305.89621594 2340.23954611 2276.71691936 2239.11473305
 2232.04552202 2123.95177043]","[2198.4, 2242.7, 2353.9, 2399.8, 2449.4, 2104.0, 2369.9, 2438.4, 2311.7, 2236.7, 2222.6, 2007.0, 1981.0]",5.225393391449552,138.02875409953492,[2110.91634584 2176.05152773 2208.70786433 2225.08052637],"[2076.0, 1960.0, 1830.0, 2007.0]",11.066339046198198,244.3748024667186
4,Busan(10kTEU),"[1220.065795   1255.0358255  1273.66658248 1397.20743095 1415.34003935
 1268.68509666 1489.265289   1687.52842484 1773.40924046 1837.17225903
 1936.0049378  2012.91907894]","[1149.2, 1184.3, 1203.0, 1327.0, 1345.2, 1198.0, 1419.4, 1618.4, 1704.6, 1768.6, 1867.8, 1945.0, 1985.0]",4.729349739059763,90.49705612520312,[2052.77096554 2120.29098638 2187.56099172 2254.58190734],"[2049.0, 2166.0, 2199.0, 2159.0]",1.8104161735393072,53.31577165410318
4,Guangzhou(10kTEU),"[ 533.68623285  659.63371601  833.77770897 1166.33362659 1233.99061393
 1251.1776712  1374.85173408 1530.3536808  1574.27616049 1625.74639548
 1743.14581841 1799.5266412 ]","[330.0, 468.5, 660.0, 1025.7, 1100.1, 1119.0, 1255.0, 1426.0, 1474.3, 1530.9, 1660.0, 1722.0, 1885.0]",5.610852262912846,79.20105815474439,[1947.75364303 2004.81980476 2056.71395236 2103.90483526],"[2037.0, 2187.0, 2323.0, 2319.0]",8.3624428223633,198.95271098200757
4,Qingdao(10kTEU),"[ 648.80831235  760.47115815  893.94988128 1062.35314487 1144.44973587
 1138.70871552 1306.34650973 1402.7956516  1544.69453791 1642.00483284
 1743.42952568 1828.58799421]","[514.0, 630.7, 770.2, 946.2, 1032.0, 1026.0, 1201.2, 1302.0, 1450.3, 1552.0, 1658.0, 1747.0, 1801.0]",3.0104802549369416,45.97831584593889,[1880.25717735 1956.09335536 2028.65619555 2098.08698592],"[1830.0, 1826.0, 2101.0, 2200.0]",4.486626543501744,93.63486725621382
4,Dubai(10kTEU),"[ 803.99111786  988.07028071 1013.62282204 1170.63646415 1257.71683525
 1196.60927753 1238.63648367 1356.31266083 1379.00735214 1410.19153909
 1545.35103401 1574.85413272]","[642.9, 861.9, 892.3, 1079.1, 1182.7, 1110.0, 1160.0, 1300.0, 1327.0, 1364.1, 1524.9, 1560.0, 1573.0]",4.8003820004397415,69.72665740442557,[1585.78120631 1596.52437415 1605.55448074 1613.14468376],"[1537.0, 1495.0, 1411.0, 1350.0]",10.81133286413099,173.04867465851672
4,Tianjin(10kTEU),"[ 519.28902308  609.4750005   714.67671426  918.48786728  948.15310249
  966.46497608 1092.81690383 1230.15595574 1296.07870065 1361.08585188
 1457.31474758 1461.80115661]","[381.6, 480.1, 595.0, 817.6, 850.0, 870.0, 1008.0, 1158.0, 1230.0, 1301.0, 1406.1, 1411.0, 1449.0]",4.811004574399017,52.812908810635975,[1496.59371643 1540.17022237 1580.06859578 1616.59929428],"[1507.0, 1600.0, 1730.0, 1835.0]",6.2495979602140785,135.891673088619
