steps,port,train_fitted,train_real,train_MAPE,train_RMSE,test_results,test_real,test_MAPE,test_RMSE
4,Ningbo(10kTEU),"[ 146.625  547.125  667.425  853.425 1081.625 1231.225 1188.625 1447.025
 1597.825 1713.725 1824.025 2016.625 2209.625]","[400.5, 520.8, 706.8, 935.0, 1084.6, 1042.0, 1300.4, 1451.2, 1567.1, 1677.4, 1870.0, 2063.0, 2160.0]",9.322081426317256,100.25618650583267,[2306.625 2453.25  2599.875 2746.5  ],"[2461.0, 2635.0, 2749.0, 2872.0]",5.74121670471198,153.99124873673827
4,Shanghai(10kTEU),"[ 188.13333333 1643.53333333 1996.53333333 2359.13333333 2803.13333333
 2986.13333333 2688.33333333 3095.03333333 3362.03333333 3441.03333333
 3549.83333333 3716.63333333 3842.13333333]","[1455.4, 1808.4, 2171.0, 2615.0, 2798.0, 2500.2, 2906.9, 3173.9, 3252.9, 3361.7, 3528.5, 3654.0, 3713.0]",11.934260412495329,397.9233025356201,[3901.13333333 4089.26666667 4277.4        4465.53333333],"[4023.0, 4201.0, 4330.0, 4350.0]",2.3899129969538637,104.22395757854014
4,Singapore(10kTEU),"[   0.  2132.9 2319.2 2479.2 2793.6 2991.8 2586.7 2843.1 2993.8 3164.9
 3257.9 3386.9 3092. ]","[2132.9, 2319.2, 2479.2, 2793.6, 2991.8, 2586.7, 2843.1, 2993.8, 3164.9, 3257.9, 3386.9, 3092.0, 3090.0]",14.134650501208288,628.9058496248128,[3090. 3090. 3090. 3090.],"[3367.0, 3660.0, 3720.0, 3660.0]",14.077483270370632,529.9596682767473
4,Shenzhen(10kTEU),"[  85.95833333 1451.45833333 1705.65833333 1932.85833333 2195.85833333
 2227.35833333 1910.95833333 2336.85833333 2342.95833333 2379.95833333
 2413.75833333 2489.65833333 2505.95833333]","[1365.5, 1619.7, 1846.9, 2109.9, 2141.4, 1825.0, 2250.9, 2257.0, 2294.0, 2327.8, 2403.7, 2420.0, 2397.0]",13.506073057310813,394.73101902072096,[2482.95833333 2568.91666667 2654.875      2740.83333333],"[2521.0, 2774.0, 2577.0, 2655.0]",3.7892160812001086,119.30865302860481
4,Hong Kong(10kTEU),"[2248.94290965 2230.40649574 2254.15216264 2292.25613313 2295.8550048
 2315.97940802 2156.37913287 2342.1827225  2290.95910667 2258.00006114
 2239.64157823 2241.50117638 2146.54070281]","[2198.4, 2242.7, 2353.9, 2399.8, 2449.4, 2104.0, 2369.9, 2438.4, 2311.7, 2236.7, 2222.6, 2007.0, 1981.0]",4.886335297617043,133.3445822924873,[2176.65443086 2248.94290965 2248.94290965 2248.94290965],"[2076.0, 1960.0, 1830.0, 2007.0]",13.634618208196214,286.211832633912
4,Busan(10kTEU),"[  69.65 1218.85 1253.95 1272.65 1396.65 1414.85 1267.65 1489.05 1688.05
 1774.25 1838.25 1937.45 2014.65]","[1149.2, 1184.3, 1203.0, 1327.0, 1345.2, 1198.0, 1419.4, 1618.4, 1704.6, 1768.6, 1867.8, 1945.0, 1985.0]",11.580859563066607,311.7836272037191,[2054.65 2124.3  2193.95 2263.6 ],"[2049.0, 2166.0, 2199.0, 2159.0]",1.81885935864722,56.4302113233684
4,Guangzhou(10kTEU),"[ 129.58333333  459.58333333  598.08333333  789.58333333 1155.28333333
 1229.68333333 1248.58333333 1384.58333333 1555.58333333 1603.88333333
 1660.48333333 1789.58333333 1851.58333333]","[330.0, 468.5, 660.0, 1025.7, 1100.1, 1119.0, 1255.0, 1426.0, 1474.3, 1530.9, 1660.0, 1722.0, 1885.0]",9.95133641601704,101.71664145838007,[2014.58333333 2144.16666667 2273.75       2403.33333333],"[2037.0, 2187.0, 2323.0, 2319.0]",2.2039364389598903,54.485950023836516
4,Qingdao(10kTEU),"[ 107.25  621.25  737.95  877.45 1053.45 1139.25 1133.25 1308.45 1409.25
 1557.55 1659.25 1765.25 1854.25]","[514.0, 630.7, 770.2, 946.2, 1032.0, 1026.0, 1201.2, 1302.0, 1450.3, 1552.0, 1658.0, 1747.0, 1801.0]",9.124555683333893,122.20161540541231,[1908.25 2015.5  2122.75 2230.  ],"[1830.0, 1826.0, 2101.0, 2200.0]",4.263172276970023,104.1709832438957
4,Dubai(10kTEU),"[  77.50833333  720.40833333  939.40833333  969.80833333 1156.60833333
 1260.20833333 1187.50833333 1237.50833333 1377.50833333 1404.50833333
 1441.60833333 1602.40833333 1637.50833333]","[642.9, 861.9, 892.3, 1079.1, 1182.7, 1110.0, 1160.0, 1300.0, 1327.0, 1364.1, 1524.9, 1560.0, 1573.0]",12.441120060819848,175.15662132080928,[1650.50833333 1728.01666667 1805.525      1883.03333333],"[1537.0, 1495.0, 1411.0, 1350.0]",22.604018347718785,356.00400936997914
4,Tianjin(10kTEU),"[  88.95  470.55  569.05  683.95  906.55  938.95  958.95 1096.95 1246.95
 1318.95 1389.95 1495.05 1499.95]","[381.6, 480.1, 595.0, 817.6, 850.0, 870.0, 1008.0, 1158.0, 1230.0, 1301.0, 1406.1, 1411.0, 1449.0]",10.57561692098557,99.57084547813567,[1537.95 1626.9  1715.85 1804.8 ],"[1507.0, 1600.0, 1730.0, 1835.0]",1.549673703109871,26.428086385510362
